 エンタメ  スポーツ  おもしろ  国内  海外  コラム  IT・科学  グルメ 
エンタメ 152 7 5 10 4 13 4 13 
スポーツ 5 182 1 6 9 1 3 1 
おもしろ 7 4 143 5 15 18 11 5 
国内 1 2 3 142 23 14 15 8 
海外 6 5 4 12 172 4 1 4 
コラム 5 2 11 16 10 141 10 13 
IT・科学 2 2 3 10 8 14 164 5 
グルメ 2 1 1 4 4 9 3 184 
